"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
60,1,0,0,0,0,0,0,1,0,2.14518138354408,0,"Wohnung",0,0,0,0,1,0,0,1,0,0,0,799,0,0,2.5,1,0,0,0,0,0,2012,2012,1721
137,0,0,0,0,0,0,0,0,0,2.20451209227757,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,435,0,0,3.5,1,0,0,0,0,0,2012,1975.22719672874,6645
134,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,81,0,0,5.5,1,0,0,0,0,0,2015,2004,1030
245,0,0,0,0,0,0,0,0,0,2.5392411487561,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,485,0,0,5.5,1,0,0,0,0,0,2018,1981.69128368187,1965
111,0,0,0,0,0,0,0,0,0,2.0674038610689,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2152,0,0,3.5,1,0,0,0,0,0,2013,1976.60239534122,1124
100,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,2369,0,0,3.5,1,0,0,0,0,0,2017,2014,8542
84,1,0,0,0,0,0,0,0,0,1.76193956421956,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1712,0,0,4.5,1,0,0,0,0,0,2015,1977,7252
38,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,632,0,0,1.5,1,0,0,0,0,0,2012,1977,6612
172,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,2283,0,0,6.5,1,0,0,0,0,0,2016,1988.06737087333,1937
133,0,0,0,0,0,0,0,0,0,1.98343806680387,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1919,0,0,4.5,1,0,0,0,0,0,2014,1981.34236659464,8560
90,0,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,2083,0,0,4,1,0,0,0,0,0,2013,1960,1219
77,0,0,0,0,0,0,0,0,0,1.76454225482444,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,1163,0,0,2.5,1,0,0,0,0,0,2017,2016,3960
122,0,0,1,0,1,0,0,1,1,1.93256238524219,0,"Wohnung",0,1,0,0,1,0,0,0,0,0,0,2288,0,0,4.5,1,0,0,0,0,1,2013,2015,4410
50,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,799,0,0,2.5,1,0,0,0,0,0,2014,1992,3989
190,0,0,0,0,0,0,0,0,0,2.30118692352243,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,429,0,0,5.5,1,0,0,0,0,0,2017,1982.59081210231,6900
95,0,0,0,0,0,0,0,0,0,1.86009621759634,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,608,0,0,4.5,1,0,0,0,0,0,2013,1977.30005100176,6648
109,0,0,0,0,0,0,0,0,0,1.64666303648233,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,2514,0,0,4.5,1,0,0,0,0,0,2016,2016,1410
129,0,0,0,0,0,0,0,0,0,1.78861317029273,0,"Wohnung",0,0,0,1,1,0,0,0,0,0,0,193,0,0,4,1,0,0,0,0,0,2019,2018,1244
99,1,0,0,0,0,0,0,1,0,2.30842336874286,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2071,0,0,3.5,1,0,0,0,0,0,2015,1988,1815
111,1,0,0,0,0,0,0,1,0,1.92702113856121,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,2238,0,0,4.5,1,0,0,0,0,0,2015,2015,8957
155,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,2197,0,0,4.5,1,0,0,0,0,0,2017,2018,9523
92,0,0,0,0,0,0,0,0,0,1.91322589394151,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1606,0,0,3.50906828012959,1,0,0,0,0,0,2017,1994,8165
75,1,0,0,0,0,0,0,1,0,2.26054967631827,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,1668,0,0,3.5,1,0,0,0,0,0,2012,1987.95338857931,6974
83,1,0,0,0,1,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,930,0,0,3.5,1,0,0,0,0,0,2014,1979,3919
