"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
60,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,1,0,0,0,"235000.0CHF",0,0,2.5,1,0,0,0,0,0,2012,2012,1721
112,0,1,0,0,0,0,0,1,0,3,0,"Wohnung",0,0,0,0,0,0,0,1,1,0,0,"590000.0CHF",0,0,4,NA,0,0,0,0,0,2017,1985,9244
134,0,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"1095000.0CHF",0,0,5.5,1,0,0,0,0,0,2015,2004,1030
167,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"1095000.0CHF",0,0,6.5,NA,0,0,0,0,0,2013,1975,8428
75,0,0,0,0,0,0,0,0,0,4,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"543000.0CHF",0,0,4.5,NA,0,0,0,0,0,2015,1970,1092
100,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"880000.0CHF",0,0,3.5,1,0,0,0,0,0,2017,2014,8542
84,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"535000.0CHF",0,0,4.5,1,0,0,0,0,0,2015,1977,7252
38,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"195000.0CHF",0,0,1.5,1,0,0,0,0,0,2012,1977,6612
135,0,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"1200000.0CHF",0,0,4.5,NA,0,0,0,0,0,2013,1968,4434
139,0,0,0,0,0,0,0,1,0,8,0,"Wohnung",0,0,0,0,0,0,1,0,0,0,0,"840000.0CHF",0,0,5.5,NA,0,0,0,0,0,2017,2007,8707
90,0,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"700000.0CHF",0,0,4,1,0,0,0,0,0,2013,1960,1219
77,0,0,0,0,0,0,0,0,0,4,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"333000.0CHF",0,0,2.5,1,0,0,0,0,0,2017,2016,3960
122,0,0,1,0,1,0,0,1,1,2,0,"Wohnung",0,1,0,0,1,0,0,0,0,0,0,"825000.0CHF",0,0,4.5,1,0,0,0,0,1,2013,2015,4410
50,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"235000.0CHF",0,0,2.5,1,0,0,0,0,0,2014,1992,3989
712,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"1585000.0CHF",0,0,7,NA,0,0,0,0,1,2018,2013,8932
120,1,0,0,0,1,0,0,1,0,-1,0,"Dachwohnung",0,0,0,0,1,0,0,0,1,0,0,"645000.0CHF",0,0,4.5,NA,0,0,0,0,0,2013,2017,6030
109,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"999500.0CHF",0,0,4.5,1,0,0,0,0,0,2016,2016,1410
129,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,1,1,0,0,0,0,0,0,"1230000.0CHF",0,0,4,1,0,0,0,0,0,2019,2018,1244
99,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"695000.0CHF",0,0,3.5,1,0,0,0,0,0,2015,1988,1815
111,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,"795000.0CHF",0,0,4.5,1,0,0,0,0,0,2015,2015,8957
155,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"770000.0CHF",0,0,4.5,1,0,0,0,0,0,2017,2018,9523
92,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"495000.0CHF",0,0,3.5,1,0,0,0,0,0,2017,1994,8165
118,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",0,0,1,1,1,0,0,0,1,0,0,"390000.0CHF",0,0,4.5,NA,0,0,0,0,1,2014,2014,9000
83,1,0,0,0,1,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,"268000.0CHF",0,0,3.5,1,0,0,0,0,0,2014,1979,3919
120,0,0,0,0,0,0,0,0,0,3,0,"Attika",0,0,0,0,0,0,0,1,0,0,0,"970000.0CHF",0,0,4.5,1,0,0,0,0,0,2012,1997,6214
128,1,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"557000.0CHF",0,0,5.5,NA,0,0,0,0,0,2014,1975,1202
113,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,1,1,0,0,"1095000.0CHF",0,0,4.5,1,0,0,0,0,0,2016,2016,1112
87,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"745000.0CHF",0,0,4.5,NA,0,0,0,0,1,2013,2012,1025
124,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,1,1,1,0,0,1,0,0,0,"690000.0CHF",0,0,4.5,1,0,0,0,0,1,2016,2016,9320
60,1,0,0,0,0,0,0,1,0,4,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"440000.0CHF",0,0,2.5,1,0,0,0,0,0,2012,1977,8046
68,1,1,0,0,0,0,0,0,1,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"445000.0CHF",0,0,3.5,1,0,0,0,0,0,2012,2013,7147
88,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,1,0,0,"590000.0CHF",0,0,3.5,1,0,0,0,0,0,2015,2009,1630
53,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"2570000.0CHF",0,0,3.5,NA,0,0,0,0,0,2019,2009,1934
113,0,1,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,1,1,0,0,"545000.0CHF",0,0,3.5,1,0,0,0,0,0,2019,2019,1955
125,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"895000.0CHF",0,0,4.5,1,0,0,1,0,0,2015,1990,6332
108,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"975000.0CHF",0,0,3.5,NA,0,0,0,0,0,2019,1977,6280
185,0,0,0,0,0,0,1,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,1,1,0,0,"1200000.0CHF",0,0,5.5,1,0,0,0,0,0,2013,2013,5400
113,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,"590000.0CHF",0,0,4.5,NA,0,0,0,0,0,2018,2012,1010
70,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",0,0,0,1,1,0,0,1,0,0,0,"238500.0CHF",0,0,2.5,NA,0,0,0,0,1,2017,2016,6030
48,0,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,1,1,0,0,1,0,0,0,"275000.0CHF",0,0,2.5,1,0,0,0,0,0,2015,2015,6467
98,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,"860000.0CHF",0,0,3.5,1,0,0,0,0,1,2013,2001,7050
55,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"290000.0CHF",0,0,2,1,0,0,0,0,0,2012,1950,3097
200,0,0,0,0,0,0,0,0,0,9,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,"975000.0CHF",0,0,3.5,1,0,0,0,0,0,2017,1610,1350
120,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,"538000.0CHF",0,0,4.5,1,0,0,0,0,0,2012,2012,8588
165,0,0,0,0,0,0,1,1,0,17,0,"Attika",1,0,0,0,0,0,0,1,0,0,0,"895000.0CHF",0,0,4.5,1,0,0,0,0,0,2015,1991,1630
80,0,0,0,0,0,0,0,1,0,7,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,"920000.0CHF",0,0,3.5,1,0,0,0,0,0,2014,2013,6900
